Subject	condition	TrialId	pretrial_pupil	pretrial_rank
931	easy goal	1	3.6460151715481173	129
931	easy goal	3	3.5869438869565218	128
931	easy goal	4	3.204821028169014	122
931	easy goal	6	3.5298836120689656	127
931	easy goal	7	3.0850329467213116	109
931	easy goal	8	3.1255934315352696	116
931	easy goal	9	2.9558114205607477	95
931	easy goal	10	2.877626415841584	84
931	easy goal	11	2.9853387747747746	100
931	easy goal	12	3.2881716666666665	125
931	easy goal	13	3.015633255	101
931	easy goal	14	3.3264468660714286	126
931	easy goal	15	3.086245320441989	110
931	easy goal	16	3.1838097650273225	119
931	easy goal	17	3.042964604651163	104
931	easy goal	18	2.9072212112676055	88
931	easy goal	19	2.9155089083333334	92
931	easy goal	20	3.0772395761316873	108
931	easy goal	21	3.1908947598253277	121
931	easy goal	22	2.8018206163265305	72
931	easy goal	23	2.8043784355555554	73
931	easy goal	26	3.0666307535545023	107
931	easy goal	27	3.122833714285714	115
931	easy goal	28	3.019739430693069	102
931	easy goal	30	2.931503800970874	93
931	easy goal	31	3.1478005418719213	118
931	easy goal	32	2.808345800865801	75
931	easy goal	33	2.95623975	96
931	easy goal	34	3.0504092588235294	106
931	easy goal	35	2.823402396551724	80
931	easy goal	36	2.87152631300813	82
931	easy goal	37	2.912443548780488	89
931	easy goal	38	2.619011939814815	46
931	easy goal	39	2.703966225409836	59
931	easy goal	41	2.915050574468085	91
931	easy goal	42	2.5542548119266053	34
931	easy goal	43	2.8097225714285714	76
931	easy goal	44	2.7036314537037036	58
931	easy goal	45	2.7692910704225353	68
931	easy goal	46	2.6944944260089687	57
931	easy goal	47	2.5942021278538814	43
931	easy goal	48	2.719089913907285	60
931	easy goal	49	2.6609335297029704	52
931	easy goal	50	2.622494886178862	47
931	easy goal	51	2.6069114526748973	45
931	easy goal	52	3.087864012195122	111
931	easy goal	53	2.9703156757990867	98
931	easy goal	54	2.983858436936937	99
931	easy goal	55	3.0910086810344826	112
931	easy goal	56	2.670950004716981	54
931	easy goal	57	2.7982005217391306	70
931	easy goal	58	2.598681222826087	44
931	easy goal	59	2.682939158119658	56
931	easy goal	60	3.107744334951456	114
931	easy goal	61	3.09700756	113
931	easy goal	62	2.8553036847826085	81
931	easy goal	63	2.673490618852459	55
931	easy goal	64	2.5014336096491228	29
931	easy goal	65	2.6408594814814816	49
931	easy goal	66	2.9419648510638297	94
931	easy goal	67	2.8756176288209607	83
931	easy goal	68	2.7339593834951454	63
931	easy goal	69	2.7476720753424657	64
931	easy goal	70	2.4695793467336684	26
931	easy goal	71	2.7574991330049263	65
931	easy goal	72	2.42940904	20
931	easy goal	73	2.5778798675799086	38
931	easy goal	74	2.4677436341463417	25
931	easy goal	75	2.5083841043956046	30
931	easy goal	76	2.670231103030303	53
931	easy goal	78	2.9660636898148147	97
931	easy goal	79	2.877970401273885	85
931	easy goal	80	2.5827007983539096	39
931	easy goal	81	2.6548768756476684	51
931	easy goal	82	2.288289935960591	9
931	easy goal	83	2.642886625	50
931	easy goal	84	2.533665406060606	33
931	easy goal	86	3.227568565445026	124
931	easy goal	87	2.9034442428571428	86
931	easy goal	88	2.8134143480176212	78
931	easy goal	89	2.5612969170984456	37
931	easy goal	90	2.4021841	18
931	easy goal	91	2.325569575510204	13
931	easy goal	92	2.813233972972973	77
931	easy goal	93	3.022794043165468	103
931	easy goal	94	3.0457120662983423	105
931	easy goal	95	2.9127599310344827	90
931	easy goal	96	2.436872045	21
931	easy goal	97	3.1309054641148326	117
931	easy goal	98	2.445950765432099	23
931	easy goal	99	2.3440795023696683	16
931	easy goal	101	2.5558150585365853	35
931	easy goal	102	2.201912313829787	4
931	easy goal	104	2.5886456285714288	40
931	easy goal	105	2.5887162574257427	41
931	easy goal	106	2.9064983548387096	87
931	easy goal	107	2.524470245098039	32
931	easy goal	108	2.8066119875	74
931	easy goal	109	NA	130
931	easy goal	110	2.1102844444444444	2
931	easy goal	111	2.4251246363636363	19
931	easy goal	112	2.7658298173076923	67
931	easy goal	113	2.759409004878049	66
931	easy goal	114	2.733109790393013	62
931	easy goal	115	2.3150705167464114	11
931	easy goal	116	2.8212252891566263	79
931	easy goal	117	2.2432658526315787	8
931	easy goal	118	2.4750946446280992	27
931	easy goal	119	2.3266445477386934	14
931	easy goal	120	2.3679641242937852	17
931	easy goal	121	2.2400372763157894	6
931	easy goal	122	2.5918103905325443	42
931	easy goal	123	2.461178936781609	24
931	easy goal	124	2.7192759592760183	61
931	easy goal	125	2.343405743362832	15
931	easy goal	126	2.5180403217821783	31
931	easy goal	127	2.21356453968254	5
931	easy goal	128	2.475219008196721	28
931	easy goal	129	2.1960713461538464	3
931	easy goal	130	2.2912414411764708	10
931	easy goal	131	2.556568119047619	36
931	easy goal	132	2.6335431979166666	48
931	easy goal	133	2.3183580041322314	12
931	easy goal	134	2.076979174242424	1
931	easy goal	135	2.4459146319444445	22
931	easy goal	136	2.241926512	7
931	easy goal	137	2.8003319275362317	71
931	easy goal	138	3.1885208663101605	120
931	easy goal	139	3.212512457142857	123
931	easy goal	140	2.780339921658986	69
