Subject	condition	TrialId	pretrial_pupil	pretrial_rank
923	no goal	1	2.9177448174273857	120
923	no goal	2	3.1084529812206574	134
923	no goal	4	3.177006812244898	135
923	no goal	5	2.7042082827868854	80
923	no goal	6	2.7014784320987655	78
923	no goal	7	2.688736700819672	72
923	no goal	8	2.742496489626556	89
923	no goal	9	2.5659078530612245	45
923	no goal	10	2.574760545081967	48
923	no goal	11	2.503987142857143	33
923	no goal	12	2.624456851851852	57
923	no goal	13	2.5653439462809917	44
923	no goal	14	2.440526918032787	17
923	no goal	15	2.6773296694214874	71
923	no goal	16	2.637389285123967	61
923	no goal	17	2.5773098429752066	49
923	no goal	18	2.846388950413223	107
923	no goal	19	2.5801194691358025	50
923	no goal	20	2.7063130905349793	82
923	no goal	21	2.263284467005076	3
923	no goal	22	2.802110197530864	101
923	no goal	23	2.534521743801653	38
923	no goal	24	2.666640596707819	68
923	no goal	25	2.595183855371901	53
923	no goal	26	2.628173900826446	59
923	no goal	27	2.711573958506224	84
923	no goal	28	2.5723786065573773	47
923	no goal	29	3.209120905027933	137
923	no goal	30	3.070618163934426	132
923	no goal	31	2.9204124221311476	121
923	no goal	32	2.8002453193717276	100
923	no goal	33	2.451428643442623	18
923	no goal	34	2.8704341024590163	112
923	no goal	35	2.7526351020408164	93
923	no goal	36	2.854077617283951	108
923	no goal	37	2.6469335843621398	64
923	no goal	38	2.743032234567901	90
923	no goal	39	2.862092344827586	111
923	no goal	40	2.6756914834710743	70
923	no goal	41	2.4998852798353908	32
923	no goal	42	2.4827586302083335	27
923	no goal	43	2.4599811016260165	21
923	no goal	44	2.8832265390946503	115
923	no goal	45	2.8926855637860083	117
923	no goal	46	2.704534900826446	81
923	no goal	47	2.5163152424242425	36
923	no goal	48	2.4979018106995885	31
923	no goal	49	2.5106306900826447	35
923	no goal	50	2.6584444256198347	67
923	no goal	51	2.6490551694214877	66
923	no goal	52	2.7040558641975307	79
923	no goal	53	2.836182334710744	106
923	no goal	54	2.7315575	86
923	no goal	55	2.4606131028806586	22
923	no goal	56	2.7000888099173554	77
923	no goal	57	3.0981811317829457	133
923	no goal	58	2.5273986300813007	37
923	no goal	59	2.6258682285714285	58
923	no goal	60	2.7274578647540983	85
923	no goal	61	2.9674388775510203	125
923	no goal	62	2.483059237704918	28
923	no goal	63	2.3248943347107436	5
923	no goal	64	2.624310723140496	56
923	no goal	65	2.3667172633744857	8
923	no goal	66	2.5051956049382715	34
923	no goal	67	2.4822377242798352	26
923	no goal	68	2.180813975409836	1
923	no goal	69	2.87778293495935	113
923	no goal	70	2.584876512295082	51
923	no goal	71	2.4771534462809917	25
923	no goal	72	2.395442772727273	11
923	no goal	73	2.390662037190083	9
923	no goal	74	2.350253098765432	7
923	no goal	75	2.4680130081967215	23
923	no goal	76	2.2010402164948455	2
923	no goal	77	3.0197933427230046	127
923	no goal	78	2.5865916694214874	52
923	no goal	79	2.4684666388888887	24
923	no goal	80	2.7632062222222222	94
923	no goal	81	2.795561762295082	99
923	no goal	82	2.3944684197530863	10
923	no goal	83	2.488170432653061	30
923	no goal	84	2.2971481363636364	4
923	no goal	85	3.4950522335766423	138
923	no goal	86	3.053405762295082	130
923	no goal	87	2.770596168141593	95
923	no goal	88	2.9260526122448978	122
923	no goal	89	3.191849660944206	136
923	no goal	90	2.692173581967213	74
923	no goal	91	2.6381983060344827	62
923	no goal	93	2.8846883086419752	116
923	no goal	94	3.032748655737705	128
923	no goal	95	2.4862897845528455	29
923	no goal	96	2.4299995308641975	15
923	no goal	97	2.7078317663934426	83
923	no goal	98	2.810671374485597	103
923	no goal	99	2.546917901639344	41
923	no goal	100	2.8596328285714288	109
923	no goal	101	2.4113919713114753	13
923	no goal	102	2.8609150409836066	110
923	no goal	103	2.695934672727273	75
923	no goal	104	2.9084105395683455	119
923	no goal	105	2.7441344554455447	91
923	no goal	106	2.881372799180328	114
923	no goal	107	2.6995122827868854	76
923	no goal	108	2.807865975409836	102
923	no goal	109	2.941682711934156	124
923	no goal	110	3.0594149159292034	131
923	no goal	111	2.731576963114754	87
923	no goal	112	2.4597134938271603	20
923	no goal	113	3.042758887218045	129
923	no goal	114	2.7466192777777776	92
923	no goal	115	2.6140424814814813	54
923	no goal	116	2.561458306122449	43
923	no goal	117	2.78094706147541	96
923	no goal	118	2.630902632231405	60
923	no goal	119	2.794004632231405	98
923	no goal	120	2.8273207142857144	105
923	no goal	121	3.0110032881355933	126
923	no goal	122	2.814766004385965	104
923	no goal	123	2.4315294484304935	16
923	no goal	124	2.5381309467213113	39
923	no goal	125	2.4560883950617285	19
923	no goal	126	2.620730928888889	55
923	no goal	127	2.538146464912281	40
923	no goal	128	2.327221579591837	6
923	no goal	129	2.6750593127572015	69
923	no goal	130	2.4220571028037385	14
923	no goal	131	2.400322222222222	12
923	no goal	132	2.7322332479338844	88
923	no goal	133	2.782302807860262	97
923	no goal	134	2.5723374744186045	46
923	no goal	135	2.895010323529412	118
923	no goal	136	2.6486302259414227	65
923	no goal	137	2.9312415142857144	123
923	no goal	138	2.6397891280991734	63
923	no goal	139	2.6903312190082644	73
923	no goal	140	2.5598367860082303	42
