Subject	TrialId	pretrial_pupil	pretrial_rank
1131	1	2.6746957684729065	76
1131	2	2.5762630274725273	38
1131	4	2.7361467701149427	90
1131	5	2.7212529647058825	86
1131	6	2.6870584020618558	79
1131	7	2.7348062741935486	89
1131	8	2.7200569950738918	85
1131	9	2.7181140913978497	84
1131	10	2.7613912578125	92
1131	11	2.6103820054347824	56
1131	13	2.6524139174311925	70
1131	14	2.6145024455958548	58
1131	15	2.6527994870466323	71
1131	16	2.7253052406015037	88
1131	18	2.640473061904762	69
1131	19	2.54541332	29
1131	20	2.6076296013071896	55
1131	21	2.5601704102564105	34
1131	23	2.577909411764706	40
1131	24	2.4179782261904763	3
1131	25	2.606004767955801	54
1131	26	2.7800932089552237	96
1131	27	2.588036990243902	51
1131	28	2.5261570829015545	21
1131	29	2.7698998515625	94
1131	30	2.5746536374269007	36
1131	31	2.6824089085714284	78
1131	32	2.8171543313253014	97
1131	33	2.613056924855491	57
1131	34	2.5798325694444446	41
1131	35	2.580418118918919	43
1131	36	2.6658711402439024	75
1131	37	2.629966925373134	64
1131	38	2.553501509677419	32
1131	39	2.5369269135135135	26
1131	41	2.482640876190476	13
1131	42	2.5108610357142855	18
1131	43	2.4891787696629213	15
1131	44	2.6332396357142858	66
1131	45	2.575632451612903	37
1131	46	2.581134995391705	45
1131	47	2.4450325793650793	7
1131	49	2.6159984691358025	59
1131	50	2.5305417594339623	24
1131	51	2.555460302857143	33
1131	53	2.6197668606060605	61
1131	54	2.536924037914692	25
1131	55	2.762362391304348	93
1131	56	2.5856242155963303	50
1131	58	2.664397029585799	74
1131	59	2.521126668269231	20
1131	60	2.7024112971698115	80
1131	61	2.833425686567164	98
1131	62	2.658954281081081	72
1131	63	2.6355099398907105	67
1131	64	2.636375918918919	68
1131	65	2.723215791411043	87
1131	66	2.579873927374302	42
1131	67	2.779349450867052	95
1131	68	2.5475176448087433	31
1131	69	2.5283112628571427	22
1131	70	2.5827939254658383	49
1131	72	2.503509400990099	17
1131	73	2.5470013862433865	30
1131	74	2.5604394041450775	35
1131	75	2.628431753164557	63
1131	76	3.066757904761905	100
1131	77	2.461350812903226	9
1131	78	2.74635971559633	91
1131	80	2.5294453693181818	23
1131	81	2.6611073333333333	73
1131	82	2.6020385090909093	53
1131	83	2.510894746031746	19
1131	84	2.477164544217687	12
1131	86	2.6253565802469137	62
1131	87	2.49730439010989	16
1131	88	2.7114148333333334	81
1131	91	2.580738787671233	44
1131	94	2.596618357142857	52
1131	95	2.5418371267605635	28
1131	97	2.5822150322580644	47
1131	98	2.680243773584906	77
1131	99	2.582406542857143	48
1131	100	2.463106093023256	10
1131	101	2.5369445466666667	27
1131	102	2.5817227654320987	46
1131	103	2.4675328157894736	11
1131	104	2.711699023255814	82
1131	105	2.4195968586387435	4
1131	106	2.632471603053435	65
1131	107	2.4311204676616915	6
1131	108	2.7141191020408164	83
1131	109	2.5774902122641508	39
1131	110	2.3932335862068963	1
1131	112	NA	101
1131	114	NA	102
1131	115	NA	103
1131	116	NA	104
1131	117	NA	105
1131	118	NA	106
1131	119	NA	107
1131	120	NA	108
1131	121	NA	109
1131	122	NA	110
1131	123	NA	111
1131	124	NA	112
1131	125	NA	113
1131	126	NA	114
1131	127	NA	115
1131	129	NA	116
1131	130	NA	117
1131	132	2.404626096296296	2
1131	133	2.617333871559633	60
1131	136	2.4592774218009477	8
1131	137	2.8792604242424242	99
1131	138	2.430884738317757	5
1131	139	2.4875814184397163	14
