Subject,TrialId,RT,bin,right_gaze_x,right_gaze_y,left_gaze_x,left_gaze_y
1064,2,370,0,0.49526658333333334,0.43748886666666664,0.49048246666666667,0.43748886666666664
1064,2,370,50,0.48817278333333336,0.4400246666666667,0.4847643833333333,0.4400246666666667
1064,2,370,100,0.4776842,0.44360916666666667,0.47709348333333335,0.44360916666666667
1064,2,370,150,0.4794778666666667,0.44369461666666665,0.4781614,0.44369461666666665
1064,2,370,200,0.4804785,0.4447631166666667,0.4773573166666667,0.4447631166666667
1064,2,370,250,0.48348905,0.44552243333333336,0.4767908166666667,0.44552243333333336
1064,2,370,300,0.4712643833333333,0.42817781666666666,0.46654355000000003,0.42817781666666666
1064,2,370,350,0.39264651666666667,0.28810895000000003,0.38631345,0.28810895000000003
1064,2,370,400,0.38580681666666666,0.28044815,0.3833518166666667,0.28044815
1064,2,370,450,0.3867602666666667,0.2818397,0.38159156666666666,0.2818397
1064,2,370,500,0.38751995,0.2820820666666667,0.38204910000000003,0.2820820666666667
1064,2,370,550,0.44763776666666666,0.41121556666666664,0.4452720333333333,0.41121556666666664
1064,2,370,600,0.4776127666666667,0.47149481666666665,0.478272,0.47149481666666665
1064,2,370,650,0.4798141,0.47638790000000003,0.4798044166666667,0.47638790000000003
1064,2,370,700,0.47998183333333333,0.47278241666666665,0.4780397,0.47278241666666665
1064,2,370,750,0.49650910000000004,0.4655496333333333,0.4969768,0.4655496333333333
1064,2,370,800,0.5029792666666667,0.4642052,0.5032487166666666,0.4642052
1064,2,370,850,0.5030301833333334,0.46237561666666666,0.501652,0.46237561666666666
1064,2,370,900,0.5035941,0.46558896666666666,0.5032026666666667,0.46558896666666666
1064,2,370,950,0.50193515,0.46346481666666667,0.5025218333333333,0.46346481666666667
1064,2,370,1000,0.5030374833333333,0.46685281666666667,0.5016137333333334,0.46685281666666667
1064,2,370,1050,0.50154974,0.46576696,0.50230538,0.46576696
1064,2,370,1100,0.5023597166666667,0.4687225666666667,0.5038943499999999,0.4687225666666667
1064,2,370,1150,0.4979523,0.45880105,0.4957341333333333,0.45880105
1064,2,370,1200,0.49625220000000003,0.4556260833333333,0.4942084166666667,0.4556260833333333
1064,2,370,1250,0.49604421666666665,0.45929085000000003,0.49515201666666664,0.45929085000000003
1064,2,370,1300,0.4963441,0.45911656666666667,0.49423425,0.45911656666666667
1064,2,370,1350,0.48449106666666664,0.4565245333333333,0.4818730333333333,0.4565245333333333
1064,2,370,1400,0.4807564166666667,0.4572431,0.47834818333333334,0.4572431
1064,2,370,1450,0.48251721666666664,0.4598566,0.4788498666666667,0.4598566
1064,2,370,1500,0.48004291666666665,0.45856155,0.47762305,0.45856155
1064,2,370,1550,0.48178201666666665,0.45719683333333333,0.47783581666666664,0.45719683333333333
1064,2,370,1600,0.49980426666666666,0.4564614166666667,0.4955583,0.4564614166666667
1064,2,370,1650,0.5025839666666667,0.45546585,0.49716721666666663,0.45546585
1064,2,370,1700,0.5019351666666667,0.4547638666666667,0.49638143333333334,0.4547638666666667
1064,2,370,1750,0.5028872833333333,0.45722376666666664,0.49560696666666665,0.45722376666666664
1064,2,370,1800,0.48703065,0.45650271666666664,0.48300135,0.45650271666666664
1064,2,370,1850,0.4832843333333333,0.4558374333333333,0.47880158333333334,0.4558374333333333
1064,2,370,1900,0.48276776666666665,0.4566312,0.47992505,0.4566312
1064,2,370,1950,0.48310453333333336,0.45586181666666664,0.4790247833333333,0.45586181666666664
1064,2,370,2000,0.485838,0.45966235,0.47852453333333334,0.45966235
1064,2,370,2050,0.48585745,0.45405898333333333,0.47992948333333335,0.45405898333333333
1064,2,370,2100,0.50387035,0.4591268,0.49678426666666664,0.4591268
1064,2,370,2150,0.5027036333333333,0.45961526666666663,0.49507528333333334,0.45961526666666663
1064,2,370,2200,0.5042679600000001,0.46114406,0.49574636,0.46114406
1064,2,370,2250,0.48803115,0.45618521666666667,0.4806557,0.45618521666666667
1064,2,370,2300,0.4830668166666667,0.4574440833333333,0.47612451666666666,0.4574440833333333
1064,2,370,2350,0.4827951833333333,0.46046553333333334,0.47614275,0.46046553333333334
1064,2,370,2400,0.48191533333333336,0.46364195,0.47645963333333335,0.46364195
1064,2,370,2450,0.5007559333333333,0.461348,0.49456136666666667,0.461348
1064,2,370,2500,0.5078427833333333,0.46044,0.5017469666666666,0.46044
1064,2,370,2550,0.5075378666666667,0.46115893333333335,0.503196,0.46115893333333335
1064,2,370,2600,0.50603725,0.46236106666666665,0.5031148666666667,0.46236106666666665
1064,2,370,2650,0.50677075,0.4584720333333333,0.50360395,0.4584720333333333
1064,2,370,2700,0.5026076,0.4598576,0.5014981333333334,0.4598576
1064,2,370,2750,0.48904925,0.4576594333333333,0.48569779999999996,0.4576594333333333
1064,2,370,2800,0.48915383333333334,0.4590890166666667,0.48505696666666664,0.4590890166666667
1064,2,370,2850,0.4894748333333333,0.46145441666666664,0.48652833333333334,0.46145441666666664
1064,2,370,2900,0.4882759,0.45929271666666666,0.4868711666666667,0.45929271666666666
1064,2,370,2950,0.49624665,0.5263017,0.4755786666666667,0.017534466666666675
1064,2,370,3000,0.4959753333333333,0.46531978333333335,0.48581025,0.46531978333333335
1064,2,370,3050,0.4912293166666667,0.4470717,0.48617568333333333,0.4470717
1064,2,370,3100,0.4914595,0.45006745000000004,0.4857388833333333,0.45006745000000004
1064,2,370,3150,0.4914740166666667,0.45272818333333337,0.4850201,0.45272818333333337
1064,2,370,3200,0.49169576666666664,0.45463998333333333,0.4854992,0.45463998333333333
1064,2,370,3250,0.49195018333333335,0.4524401,0.4843280166666667,0.4524401
1064,2,370,3300,0.49128942,0.45304632,0.48428974,0.45304632
1064,2,370,3350,0.49025026666666666,0.45546165,0.484782,0.45546165
1064,2,370,3400,0.48983383333333336,0.4564288,0.48552381666666666,0.4564288
1064,2,370,3450,0.49879286666666667,0.4635236166666667,0.49454943333333334,0.4635236166666667
1064,2,370,3500,0.49943696666666665,0.46467308333333335,0.4962181,0.46467308333333335
1064,2,370,3550,0.4984900333333333,0.46706919999999996,0.4972012,0.46706919999999996
1064,2,370,3600,0.49812164999999997,0.4670426,0.49732255,0.4670426
1064,2,370,3650,0.51069115,0.4578848,0.5097334666666666,0.4578848
1064,2,370,3700,0.5096136333333333,0.4651928166666667,0.5112632833333334,0.4651928166666667
