Subject	condition	TrialId	bin	pupil_change
918	hard goal	2	-200	0.042440341013825024
918	hard goal	2	-150	0.0464699838709679
918	hard goal	2	-100	-0.003122682795698791
918	hard goal	2	-50	-0.03561184946236554
918	hard goal	2	0	-0.05724918279569883
918	hard goal	2	50	-0.1141098494623655
918	hard goal	2	100	-0.14864818279569883
918	hard goal	2	150	-0.18806068279569868
918	hard goal	2	200	-0.19422318279569883
918	hard goal	2	250	-0.20427934946236545
918	hard goal	2	300	-0.18082418279569876
918	hard goal	2	350	-0.19192418279569887
918	hard goal	2	400	-0.16999518279569878
918	hard goal	2	450	-0.15340851612903217
918	hard goal	2	500	-0.10234301612903225
918	hard goal	2	550	-0.07617468279569868
918	hard goal	2	600	-0.038837182795698734
918	hard goal	2	650	0.005825317204301239
918	hard goal	2	700	0.015449650537634549
918	hard goal	2	750	0.042367817204301085
918	hard goal	2	800	0.009135817204301086
918	hard goal	2	850	NA
918	hard goal	2	900	NA
918	hard goal	2	950	-0.08260431612903218
918	hard goal	2	1e3	0.025071317204301186
918	hard goal	2	1050	-0.009572016129032171
918	hard goal	2	1100	0.014905483870967831
918	hard goal	2	1150	0.017576150537634467
918	hard goal	3	-200	0.017211631336405527
918	hard goal	3	-150	0.018737274193548314
918	hard goal	3	-100	0.003557440860214959
918	hard goal	3	-50	-0.006323725806451759
918	hard goal	3	0	-0.03605122580645174
918	hard goal	3	50	-0.07647572580645161
918	hard goal	3	100	-0.09247122580645166
918	hard goal	3	150	-0.09698572580645164
918	hard goal	3	200	-0.10072072580645175
918	hard goal	3	250	-0.11097672580645172
918	hard goal	3	300	-0.10728705913978491
918	hard goal	3	350	-0.10956639247311828
918	hard goal	3	400	-0.1036403924731184
918	hard goal	3	450	-0.09085272580645169
918	hard goal	3	500	-0.07235039247311836
918	hard goal	3	550	-0.04717189247311837
918	hard goal	3	600	-0.004779825806451576
918	hard goal	3	650	0.017524631336405503
918	hard goal	3	700	0.0625702741935484
918	hard goal	3	750	0.07322560752688172
918	hard goal	3	800	0.08318577419354822
918	hard goal	3	850	0.04452677419354837
918	hard goal	3	900	NA
918	hard goal	3	950	NA
918	hard goal	3	1e3	0.029389374193548347
918	hard goal	3	1050	0.151731940860215
