Subject	condition	TrialId	bin	pupil_change
847	no goal	1	-200	-0.006855933333333415
847	no goal	1	-150	0.014581399999999967
847	no goal	1	-100	0.0021508999999999556
847	no goal	1	-50	0.0060990666666666344
847	no goal	1	0	-0.015975433333333438
847	no goal	1	50	-0.04892026666666675
847	no goal	1	100	-0.08261643333333331
847	no goal	1	150	-0.0719266
847	no goal	1	200	-0.08333210000000002
847	no goal	1	250	-0.0661819333333334
847	no goal	1	300	-0.1235711
847	no goal	1	350	-0.20255210000000004
847	no goal	1	400	-0.2515171
847	no goal	1	450	-0.2839019333333333
847	no goal	1	500	-0.3458084333333334
847	no goal	1	550	-0.36773852857142864
847	no goal	1	600	-0.35673276666666665
847	no goal	1	650	-0.37317010000000006
847	no goal	1	700	-0.3669349333333333
847	no goal	1	750	-0.38243543333333335
847	no goal	1	800	-0.39201643333333336
847	no goal	1	850	-0.39100826666666677
847	no goal	1	900	-0.3968324333333333
847	no goal	1	950	-0.4070479333333333
847	no goal	1	1e3	-0.4030747666666667
847	no goal	1	1050	-0.3741179333333334
847	no goal	1	1100	-0.32172110000000015
847	no goal	1	1150	-0.27808476666666676
847	no goal	2	-200	-0.05714456666666671
847	no goal	2	-150	-0.025549066666666675
847	no goal	2	-100	0.023969933333333342
847	no goal	2	-50	0.009465099999999893
847	no goal	2	0	0.049258599999999854
847	no goal	2	50	0.07106993333333333
847	no goal	2	100	0.06663760000000003
847	no goal	2	150	0.0753887666666666
847	no goal	2	200	0.07240209999999991
847	no goal	2	250	0.05633843333333329
847	no goal	2	300	0.0070497666666666054
847	no goal	2	350	-0.005976233333333451
847	no goal	2	400	0.0035234333333332333
847	no goal	2	450	-0.0011073999999999806
847	no goal	2	500	0.010764766666666592
847	no goal	2	550	0.019370099999999946
847	no goal	2	600	0.04174943333333325
847	no goal	2	650	0.02301943333333334
847	no goal	2	700	0.03961376666666657
847	no goal	2	750	0.019952099999999955
847	no goal	2	800	0.014275219047619065
847	no goal	2	850	-0.020244066666666633
847	no goal	2	900	-0.05786973333333334
847	no goal	2	950	-0.07071406666666673
847	no goal	2	1e3	-0.07448640000000006
847	no goal	2	1050	-0.10236823333333334
847	no goal	2	1100	-0.08649123333333335
847	no goal	2	1150	-0.09590206666666672
847	no goal	3	-200	-0.03038036666666651
847	no goal	3	-150	-0.016752533333333153
847	no goal	3	-100	-0.012220533333333247
847	no goal	3	-50	0.017659466666666884
847	no goal	3	0	0.04169396666666684
847	no goal	3	50	0.09603930000000009
847	no goal	3	100	0.13892196666666679
847	no goal	3	150	0.16924546666666695
847	no goal	3	200	0.19722263333333348
847	no goal	3	250	0.24126946666666682
847	no goal	3	300	0.2649804666666668
847	no goal	3	350	0.30404363333333345
847	no goal	3	400	0.2730274666666667
847	no goal	3	450	0.29917330000000014
847	no goal	3	500	0.2703978000000002
847	no goal	3	550	0.2690523000000001
847	no goal	3	600	0.2129128
847	no goal	3	650	0.19144146666666675
847	no goal	3	700	0.14427063333333345
847	no goal	3	750	0.07805580000000016
847	no goal	3	800	0.02209530000000015
847	no goal	3	850	-0.04423919999999996
847	no goal	3	900	-0.061313533333333226
847	no goal	3	950	-0.0802438666666665
847	no goal	3	1e3	-0.08818219999999988
847	no goal	3	1050	-0.09044203333333319
847	no goal	3	1100	-0.08041236666666658
847	no goal	3	1150	-0.0719545333333332
847	no goal	4	-200	0.04370911594202901
847	no goal	4	-150	0.015505949275362418
847	no goal	4	-100	-0.012575217391304294
847	no goal	4	-50	-0.05596781739130439
847	no goal	4	0	NA
847	no goal	4	50	NA
847	no goal	4	100	-0.20928988405797103
847	no goal	4	150	-0.1770719316770186
847	no goal	4	200	-0.24805521739130443
847	no goal	4	250	-0.24589455072463764
847	no goal	4	300	-0.2426153840579711
847	no goal	4	350	-0.2032010507246378
847	no goal	4	400	-0.21503955072463765
847	no goal	4	450	-0.21511005072463774
847	no goal	4	500	-0.24987805072463765
