Subject	condition	TrialId	pretrial_pupil	pretrial_rank
984	goal + feedback	1	2.720083995850622	100
984	goal + feedback	2	2.72116475308642	101
984	goal + feedback	3	2.6530965991189426	69
984	goal + feedback	4	2.483041579591837	9
984	goal + feedback	5	2.6920924034334766	86
984	goal + feedback	6	2.7385447396694214	110
984	goal + feedback	7	2.580655213114754	31
984	goal + feedback	8	2.597870441025641	37
984	goal + feedback	9	2.6960597777777777	90
984	goal + feedback	10	2.6478312347826085	65
984	goal + feedback	11	2.544484987654321	16
984	goal + feedback	12	2.590927378600823	35
984	goal + feedback	13	2.6964103456790123	91
984	goal + feedback	14	2.5766371851851853	28
984	goal + feedback	15	2.615297233606557	42
984	goal + feedback	16	2.694824427983539	88
984	goal + feedback	17	2.7481443738317757	112
984	goal + feedback	18	2.557787114035088	22
984	goal + feedback	19	2.64563089380531	61
984	goal + feedback	20	2.649258380165289	67
984	goal + feedback	21	2.463702987704918	7
984	goal + feedback	22	2.6763118571428572	76
984	goal + feedback	23	2.719192447368421	99
984	goal + feedback	24	2.7148545161290323	96
984	goal + feedback	25	2.552277696261682	18
984	goal + feedback	26	2.4238335040650405	3
984	goal + feedback	27	2.5763785102880656	26
984	goal + feedback	28	2.6123288724279834	41
984	goal + feedback	29	2.655924132231405	70
984	goal + feedback	30	2.6451769353448276	59
984	goal + feedback	31	2.722890789256198	102
984	goal + feedback	32	2.5764094863636364	27
984	goal + feedback	33	2.6459982950819674	63
984	goal + feedback	34	2.6491850979591836	66
984	goal + feedback	35	2.6723789918032788	75
984	goal + feedback	36	2.7705459854368932	118
984	goal + feedback	37	2.645936188034188	62
984	goal + feedback	38	2.6088223909465023	40
984	goal + feedback	39	2.799891004098361	123
984	goal + feedback	40	2.5707189747899157	24
984	goal + feedback	41	2.7462648251121076	111
984	goal + feedback	42	2.6638807520325205	73
984	goal + feedback	43	2.5404651885245904	14
984	goal + feedback	44	2.723656769547325	103
984	goal + feedback	45	2.586984783185841	34
984	goal + feedback	46	2.694695416309013	87
984	goal + feedback	47	2.6778862190082644	77
984	goal + feedback	48	2.62206543852459	46
984	goal + feedback	49	2.598781403292181	38
984	goal + feedback	50	2.55974616872428	23
984	goal + feedback	51	2.66233245971564	71
984	goal + feedback	52	2.962877474137931	133
984	goal + feedback	53	2.738326789699571	109
984	goal + feedback	54	2.626078790909091	49
984	goal + feedback	55	2.7738078046875	119
984	goal + feedback	56	2.732656871244635	107
984	goal + feedback	57	2.591034457142857	36
984	goal + feedback	58	2.725034443438914	104
984	goal + feedback	59	2.6828911352459017	79
984	goal + feedback	60	2.6352479871244636	53
984	goal + feedback	61	2.509481802631579	11
