Subject	TrialId	bin	pupil_change
1240	1	-200	0.03228482488479261
1240	1	-150	0.009966634408602237
1240	1	-100	0.008974134408602138
1240	1	-50	-0.027981698924731162
1240	1	0	-0.028624698924731257
1240	1	50	-0.06823969892473121
1240	1	100	-0.0676458655913977
1240	1	150	-0.04271786559139771
1240	1	200	-0.06356769892473106
1240	1	250	-0.07630586559139774
1240	1	300	-0.051774032258064505
1240	1	350	-0.03783669892473118
1240	1	400	-0.030092532258064447
1240	1	450	0.015396301075268756
1240	1	500	0.022641301075268922
1240	1	550	0.08991430107526892
1240	1	600	0.18040046774193552
1240	1	650	0.2080741344086022
1240	1	700	0.24743063440860222
1240	1	750	0.23932096774193554
1240	1	800	0.21483696774193559
1240	1	850	0.24424596774193552
1240	1	900	0.16735976774193553
1240	1	950	NA
1240	1	1e3	0.2900013010752689
1240	1	1050	0.32278030107526895
1240	1	1100	0.32654013440860225
1240	1	1150	0.32125496774193546
1240	2	-200	0.0288823640552996
1240	2	-150	-4.989784946229925e-5
1240	2	-100	0.003026435483871085
1240	2	-50	0.0025287688172043556
1240	2	0	-0.039201397849462305
1240	2	50	-0.08815156451612904
1240	2	100	-0.10996639784946227
1240	2	150	-0.19779939784946218
1240	2	200	-0.23316089784946228
1240	2	250	-0.31479773118279564
1240	2	300	-0.33505039784946233
1240	2	350	-0.36934739784946236
1240	2	400	-0.337231564516129
1240	2	450	-0.3278877311827956
1240	2	500	-0.300889064516129
1240	2	550	-0.2897405645161289
1240	2	600	-0.27512056451612893
1240	2	650	-0.26542939784946235
1240	2	700	-0.3035258978494623
1240	2	750	-0.3207142311827956
1240	2	800	-0.31202639784946234
1240	2	850	-0.3101535645161289
1240	2	900	-0.2857997311827957
1240	2	950	-0.27576723118279567
1240	2	1e3	-0.26519839784946236
1240	2	1050	-0.27559273118279565
1240	2	1100	-0.3048043978494623
1240	2	1150	-0.29029989784946236
1240	3	-200	0.002354575268817364
1240	3	-150	-0.003980258064516
1240	3	-100	0.01155707526881744
1240	3	-50	-0.003971258064515999
1240	3	0	-0.005108686635944564
1240	3	50	-0.008139758064515945
1240	3	100	-0.019975758064515976
1240	3	150	-0.08494859139784916
1240	3	200	NA
1240	3	250	-0.052608924731182505
1240	3	300	0.027383941935484036
1240	3	350	0.03497774193548405
1240	3	400	-0.011531829493087413
1240	3	450	0.019209575268817353
1240	3	500	0.046127575268817354
1240	3	550	0.09005124193548404
1240	3	600	0.040490741935484076
1240	3	650	-0.05602292473118261
1240	3	700	-0.10987242473118264
1240	3	750	-0.1530815913978493
1240	3	800	-0.15920275806451598
1240	3	850	-0.2233272580645159
1240	3	900	NA
1240	3	950	NA
1240	3	1e3	-0.34512559139784926
1240	3	1050	-0.1439464009216588
1240	3	1100	-0.12555809139784943
1240	3	1150	-0.1284894247311826
1240	4	-200	0.02968783410138271
1240	4	-150	0.0013913817204302958
1240	4	-100	0.015614215053763628
1240	4	-50	0.0016280483870969586
1240	4	0	-0.05326945161290301
1240	4	50	-0.018957784946236417
1240	4	100	0.015768215053763617
1240	4	150	0.010679215053763569
1240	4	200	0.03110788172043022
1240	4	250	-0.0023644516129030326
1240	4	300	0.010727881720430302
1240	4	350	0.06935771505376365
1240	4	400	0.0452458817204302
1240	4	450	0.10360371505376358
1240	4	500	0.1739922150537637
1240	4	550	0.16537854838709695
1240	4	600	0.21227788172043027
1240	4	650	0.1918790483870969
1240	4	700	NA
1240	4	750	NA
1240	4	800	0.07071838172043028
1240	4	850	0.046139215053763616
1240	4	900	NA
1240	4	950	0.010287048387096931
1240	4	1e3	0.1364452150537636
1240	4	1050	0.1323915483870969
1240	4	1100	0.12646988172043025
1240	4	1150	0.14726079838709694
1240	5	-200	-0.016732566820276493
1240	5	-150	-0.012410209677419312
1240	5	-100	0.005181123655914055
1240	5	-50	0.001342623655914051
1240	5	0	0.02540779032258067
1240	5	50	0.06846262365591405
1240	5	100	0.10004979032258055
1240	5	150	0.08970179032258067
1240	5	200	0.1112719569892473
1240	5	250	0.13495412365591397
1240	5	300	0.1505679569892473
1240	5	350	0.14342279032258065
1240	5	400	0.08378095698924737
1240	5	450	0.16003512365591396
1240	5	500	0.127710623655914
1240	5	550	0.20302462365591398
1240	5	600	0.22206779032258073
1240	5	650	0.1738575403225806
1240	5	700	NA
1240	5	750	NA
1240	5	800	0.15345479032258058
1240	5	850	0.17532512365591404
1240	5	900	0.14172729032258066
1240	5	950	0.1425494569892473
1240	5	1e3	0.14922112365591392
1240	5	1050	0.13723329032258066
1240	5	1100	0.1085544569892473
1240	5	1150	0.05255895698924721
1240	6	-200	0.04322988172043026
1240	6	-150	0.044901048387096854
1240	6	-100	0.01997238172043018
1240	6	-50	-0.02764078494623649
1240	6	0	-0.06896788018433167
1240	6	50	-0.06603861827956974
1240	6	100	-0.07914178494623651
1240	6	150	-0.05071161827956994
1240	6	200	-0.05019645161290313
1240	6	250	-0.06840095161290309
1240	6	300	-0.09635761827956979
1240	6	350	-0.1058199516129031
1240	6	400	-0.10764445161290308
1240	6	450	-0.09111445161290306
1240	6	500	-0.0716697849462365
1240	6	550	-0.010514451612903134
1240	6	600	0.02276471505376354
1240	6	650	-0.018500201612903
1240	6	700	NA
1240	6	750	NA
1240	6	800	0.023678298387096897
1240	6	850	0.08157054838709694
1240	6	900	0.10532983410138261
1240	6	950	0.09649388172043023
1240	6	1e3	0.11640671505376361
1240	6	1050	0.07917054838709695
1240	6	1100	NA
1240	6	1150	NA
1240	7	-200	-0.015416138248848021
1240	7	-150	0.005231456989247096
1240	7	-100	-8.328763440861309e-4
1240	7	-50	-0.003742376344086177
1240	7	0	0.01732929032258057
1240	7	50	0.03255445698924716
1240	7	100	0.022928123655913863
1240	7	150	0.05239445698924724
1240	7	200	0.07519595698924723
1240	7	250	0.05887112365591385
1240	7	300	0.07428029032258054
1240	7	350	0.050059790322580566
1240	7	400	0.04737162365591385
1240	7	450	0.07951879032258054
1240	7	500	0.09978362365591398
1240	7	550	0.16441345698924725
1240	7	600	0.17491662365591396
1240	7	650	0.18790379032258056
1240	7	700	0.10529412365591388
1240	7	750	0.07400112365591387
1240	7	800	0.017063456989247234
1240	7	850	-0.04049604301075275
1240	7	900	-0.09867970967741946
1240	7	950	NA
1240	7	1e3	NA
1240	7	1050	0.034670490322580697
