Subject	condition	TrialId	bin	pupil_change
1121	goal + feedback	1	-200	0.003946898617511392
1121	goal + feedback	1	-150	-0.07685838709677428
1121	goal + feedback	1	-100	-0.061894387096774306
1121	goal + feedback	1	-50	0.03752544623655892
1121	goal + feedback	1	0	0.09662261290322564
1121	goal + feedback	1	50	0.14700844623655906
1121	goal + feedback	1	100	0.09477977956989236
1121	goal + feedback	1	150	0.08292594623655902
1121	goal + feedback	1	200	0.006346279569892384
1121	goal + feedback	1	250	0.041280946236559014
1121	goal + feedback	1	300	-0.09115218709677438
1121	goal + feedback	1	350	0.02261481290322571
1121	goal + feedback	1	400	0.08014811290322577
1121	goal + feedback	1	450	0.06079521290322569
1121	goal + feedback	1	500	0.141847446236559
1121	goal + feedback	1	550	0.4308177795698925
1121	goal + feedback	1	600	0.4268252795698923
1121	goal + feedback	1	650	0.29366461290322565
1121	goal + feedback	1	700	0.3581851129032258
1121	goal + feedback	1	750	0.21421494623655893
1121	goal + feedback	1	800	0.038541779569892354
1121	goal + feedback	1	850	0.05622877956989244
1121	goal + feedback	1	900	0.026614279569892412
1121	goal + feedback	1	950	0.04835477956989235
1121	goal + feedback	1	1e3	0.11820127956989242
1121	goal + feedback	1	1050	0.2070957795698923
1121	goal + feedback	1	1100	0.19488011290322552
1121	goal + feedback	1	1150	0.23198594623655908
1121	goal + feedback	2	-200	0.04992857407407395
1121	goal + feedback	2	-150	0.07988065740740735
1121	goal + feedback	2	-100	-0.02576725925925934
1121	goal + feedback	2	-50	0.02369280740740738
1121	goal + feedback	2	0	-0.09715909259259255
1121	goal + feedback	2	50	-0.0451713925925926
1121	goal + feedback	2	100	-0.03695699259259264
1121	goal + feedback	2	150	-0.05227873544973548
1121	goal + feedback	2	200	-0.10264979259259262
1121	goal + feedback	2	250	-0.11425275925925933
1121	goal + feedback	2	300	-0.038704592592592735
1121	goal + feedback	2	350	-0.05325725925925936
1121	goal + feedback	2	400	-0.12459625925925939
1121	goal + feedback	2	450	-0.06282575925925937
1121	goal + feedback	2	500	0.0016631574074074118
1121	goal + feedback	2	550	-0.03511234259259255
1121	goal + feedback	2	600	0.01557190740740729
1121	goal + feedback	2	650	0.12099707407407394
1121	goal + feedback	2	700	0.1952844074074073
1121	goal + feedback	2	750	0.170932574074074
1121	goal + feedback	2	800	0.21530640740740728
1121	goal + feedback	2	850	0.13759360740740734
1121	goal + feedback	2	900	0.1619329074074073
1121	goal + feedback	2	950	0.05176500740740728
1121	goal + feedback	2	1e3	NA
1121	goal + feedback	2	1050	NA
1121	goal + feedback	2	1100	0.41203640740740743
1121	goal + feedback	2	1150	0.3504907407407407
1121	goal + feedback	3	-200	0.042541184331797446
1121	goal + feedback	3	-150	-0.044933720430107314
1121	goal + feedback	3	-100	-0.06296188709677401
1121	goal + feedback	3	-50	0.016802779569892696
1121	goal + feedback	3	0	0.041461446236559306
1121	goal + feedback	3	50	0.04345777956989272
1121	goal + feedback	3	100	0.02077377956989272
1121	goal + feedback	3	150	0.10957761290322592
1121	goal + feedback	3	200	-0.03504888709677408
1121	goal + feedback	3	250	0.2598941129032261
1121	goal + feedback	3	300	0.06880844623655931
1121	goal + feedback	3	350	0.019968112903226014
1121	goal + feedback	3	400	0.13522561290322602
1121	goal + feedback	3	450	0.574217612903226
1121	goal + feedback	3	500	0.568227212903226
1121	goal + feedback	3	550	0.494596112903226
1121	goal + feedback	3	600	0.8316016129032261
1121	goal + feedback	3	650	0.5397982795698927
1121	goal + feedback	3	700	0.8894378129032261
1121	goal + feedback	3	750	0.46436477956989264
1121	goal + feedback	3	800	0.21364877956989262
1121	goal + feedback	3	850	0.41701911290322613
1121	goal + feedback	3	900	0.4727564462365594
1121	goal + feedback	3	950	0.28530327956989265
1121	goal + feedback	3	1e3	0.17775027956989273
1121	goal + feedback	3	1050	0.3689336129032261
1121	goal + feedback	3	1100	NA
1121	goal + feedback	3	1150	NA
1121	goal + feedback	4	-200	-0.10492095977011484
1121	goal + feedback	4	-150	-0.1482631931034482
1121	goal + feedback	4	-100	-0.10737562643678149
1121	goal + feedback	4	-50	0.14903087356321842
1121	goal + feedback	4	0	0.1868183735632186
1121	goal + feedback	4	50	0.2053410402298851
1121	goal + feedback	4	100	0.20646454022988525
1121	goal + feedback	4	150	0.19486804022988516
1121	goal + feedback	4	200	0.12929387356321845
1121	goal + feedback	4	250	0.20347270689655175
1121	goal + feedback	4	300	0.21947387356321846
1121	goal + feedback	4	350	0.2507170402298851
1121	goal + feedback	4	400	0.30407404022988516
1121	goal + feedback	4	450	0.37199887356321854
1121	goal + feedback	4	500	0.4165015402298852
1121	goal + feedback	4	550	0.48730604022988516
1121	goal + feedback	4	600	0.5908692068965518
1121	goal + feedback	4	650	0.6661447068965519
1121	goal + feedback	4	700	0.7198590402298852
1121	goal + feedback	4	750	0.7653543735632186
