Subject	condition	TrialId	pretrial_pupil	pretrial_rank
1004	goal + feedback	2	3.5511564285714288	113
1004	goal + feedback	3	3.3219859058295964	73
1004	goal + feedback	4	3.358463443877551	82
1004	goal + feedback	5	3.2377559590909093	52
1004	goal + feedback	6	3.333401329004329	74
1004	goal + feedback	7	3.3667196280991734	85
1004	goal + feedback	8	3.363207338028169	83
1004	goal + feedback	9	3.2958724345794392	67
1004	goal + feedback	10	3.087952842931937	21
1004	goal + feedback	11	3.4932566939890712	108
1004	goal + feedback	12	3.4730554206008586	105
1004	goal + feedback	13	3.291401589189189	64
1004	goal + feedback	14	3.251193231884058	55
1004	goal + feedback	15	3.419180005524862	99
1004	goal + feedback	16	3.1810688285714286	41
1004	goal + feedback	17	3.1921975555555555	43
1004	goal + feedback	19	3.2736587740112992	59
1004	goal + feedback	20	3.075683197674419	17
1004	goal + feedback	21	3.2173176598639457	50
1004	goal + feedback	22	3.338260074074074	75
1004	goal + feedback	23	3.3506879523809525	81
1004	goal + feedback	24	3.3976642440476192	93
1004	goal + feedback	25	3.2691589709302327	58
1004	goal + feedback	26	3.4031200529100527	95
1004	goal + feedback	28	3.4216941666666667	100
1004	goal + feedback	29	3.31563938125	71
1004	goal + feedback	30	3.133389010050251	31
1004	goal + feedback	31	3.4029100157068064	94
1004	goal + feedback	32	3.5748106728971965	115
1004	goal + feedback	33	3.371751753333333	86
1004	goal + feedback	34	3.248109873333333	54
1004	goal + feedback	35	3.3453856463414633	77
1004	goal + feedback	37	3.394726145695364	92
1004	goal + feedback	38	3.4231601726618703	101
1004	goal + feedback	39	3.299730067307692	68
1004	goal + feedback	40	3.2895047540983606	62
1004	goal + feedback	41	3.0212027345971566	9
1004	goal + feedback	42	3.251810254716981	56
1004	goal + feedback	43	3.2665520206185565	57
1004	goal + feedback	44	3.295491069148936	66
1004	goal + feedback	45	3.1108586121212123	26
1004	goal + feedback	46	3.2023520760869566	47
1004	goal + feedback	48	3.1583642824858758	37
1004	goal + feedback	49	2.9812305369127516	7
1004	goal + feedback	50	3.126065986111111	29
1004	goal + feedback	51	2.945495808988764	5
1004	goal + feedback	52	3.671258263157895	118
1004	goal + feedback	53	3.7594695656108597	122
1004	goal + feedback	54	3.2432885409836065	53
1004	goal + feedback	55	3.1409923389830507	32
1004	goal + feedback	56	3.1001293539823007	22
1004	goal + feedback	57	3.4628858540145986	104
1004	goal + feedback	59	3.5504898971962615	112
1004	goal + feedback	60	3.3843364387755104	88
1004	goal + feedback	61	3.3860543023255816	90
1004	goal + feedback	62	3.067491495145631	16
1004	goal + feedback	63	3.152864961832061	35
1004	goal + feedback	64	3.9247935546218486	127
1004	goal + feedback	65	3.219004714285714	51
1004	goal + feedback	66	3.08792092746114	20
1004	goal + feedback	67	3.187379514450867	42
1004	goal + feedback	68	3.170283870466321	39
1004	goal + feedback	69	3.1781166574585638	40
1004	goal + feedback	70	3.087445544217687	19
1004	goal + feedback	71	3.1526578703703705	34
1004	goal + feedback	72	2.857769984126984	2
1004	goal + feedback	73	3.3483936320754717	80
1004	goal + feedback	74	3.276384220095694	60
1004	goal + feedback	75	3.537939159090909	111
1004	goal + feedback	76	3.7147243194444446	120
1004	goal + feedback	77	3.0656307027027028	14
1004	goal + feedback	78	3.4739232991452993	106
1004	goal + feedback	79	3.193149699453552	44
1004	goal + feedback	80	3.4443401176470587	102
1004	goal + feedback	81	3.052096489932886	12
1004	goal + feedback	82	3.120311680851064	28
1004	goal + feedback	83	3.108480331360947	24
1004	goal + feedback	84	3.521482105263158	109
1004	goal + feedback	85	3.4523246315789473	103
1004	goal + feedback	86	3.317443567164179	72
1004	goal + feedback	87	3.0658248035714286	15
1004	goal + feedback	88	3.108386423076923	23
1004	goal + feedback	89	2.939503081730769	4
1004	goal + feedback	90	3.0454209206349208	11
1004	goal + feedback	91	3.213487336134454	49
1004	goal + feedback	92	3.4146926985294117	97
1004	goal + feedback	93	3.28196325	61
1004	goal + feedback	94	3.4149035072463767	98
