Subject	condition	TrialId	pretrial_pupil	pretrial_rank
1096	goal + feedback	1	2.900094288702929	94
1096	goal + feedback	2	2.9214269620253166	101
1096	goal + feedback	3	2.8765622575107295	75
1096	goal + feedback	4	2.8792086681034483	77
1096	goal + feedback	5	2.892573862660944	89
1096	goal + feedback	6	2.874527917748918	73
1096	goal + feedback	7	2.769842	20
1096	goal + feedback	8	2.737892951754386	13
1096	goal + feedback	9	2.872501077586207	70
1096	goal + feedback	10	2.816091882352941	43
1096	goal + feedback	11	2.7078550692640695	3
1096	goal + feedback	12	2.751505285106383	17
1096	goal + feedback	13	2.711727366515837	4
1096	goal + feedback	14	2.800202849137931	34
1096	goal + feedback	15	2.7934166372093023	30
1096	goal + feedback	16	2.894308446902655	91
1096	goal + feedback	17	2.88679685625	83
1096	goal + feedback	18	2.851612080717489	57
1096	goal + feedback	19	2.799935142201835	33
1096	goal + feedback	20	2.8568559861751153	59
1096	goal + feedback	21	2.724790736170213	10
1096	goal + feedback	22	2.8115925789473684	38
1096	goal + feedback	23	2.792232165217391	29
1096	goal + feedback	25	2.9734619140271494	113
1096	goal + feedback	26	2.904065470588235	97
1096	goal + feedback	27	2.829239689814815	50
1096	goal + feedback	28	2.8516425539906103	58
1096	goal + feedback	29	2.871867685185185	69
1096	goal + feedback	30	3.0057096415929205	120
1096	goal + feedback	31	2.9258644545454544	102
1096	goal + feedback	32	2.9550497522522523	108
1096	goal + feedback	33	2.8174411834862387	44
1096	goal + feedback	34	2.885712669767442	81
1096	goal + feedback	35	2.7215408333333335	7
1096	goal + feedback	36	2.880657570247934	78
1096	goal + feedback	37	2.721880225	8
1096	goal + feedback	38	2.900408232227488	96
1096	goal + feedback	39	2.67197287654321	1
1096	goal + feedback	40	2.886904154506438	84
1096	goal + feedback	41	3.07083810373444	129
1096	goal + feedback	42	3.0023475042016807	119
1096	goal + feedback	43	2.7842791399176954	26
1096	goal + feedback	44	2.8144399008264465	41
1096	goal + feedback	46	2.8731243111111113	71
1096	goal + feedback	47	2.8027987612903225	36
1096	goal + feedback	48	3.125309506122449	133
1096	goal + feedback	49	2.9556735662100455	109
1096	goal + feedback	50	2.975321819672131	115
1096	goal + feedback	51	2.9181780604395606	100
1096	goal + feedback	52	2.9578279197530866	111
1096	goal + feedback	53	2.8963970913461536	93
1096	goal + feedback	54	2.827970713043478	48
1096	goal + feedback	55	2.9877857069767444	118
1096	goal + feedback	56	2.900132339055794	95
1096	goal + feedback	57	2.9737723564356435	114
1096	goal + feedback	59	2.8747598294930876	74
1096	goal + feedback	60	3.0147261194690267	122
1096	goal + feedback	61	3.041633625	125
1096	goal + feedback	62	3.0983917892561985	131
1096	goal + feedback	63	2.8908968203592815	86
1096	goal + feedback	64	2.864209587155963	63
1096	goal + feedback	65	2.7138393701657457	5
1096	goal + feedback	66	2.74359974611399	15
1096	goal + feedback	67	2.9390689678899085	103
1096	goal + feedback	68	2.892865101321586	90
1096	goal + feedback	69	2.859771855855856	61
1096	goal + feedback	70	2.981215375	117
1096	goal + feedback	71	2.8258691584158417	47
1096	goal + feedback	72	2.87436827027027	72
1096	goal + feedback	73	2.8373794086956523	53
1096	goal + feedback	74	2.7259532807017544	11
1096	goal + feedback	75	2.8382697441860465	54
1096	goal + feedback	76	2.800492068062827	35
1096	goal + feedback	77	2.8633183008849556	62
1096	goal + feedback	78	2.8254053768115943	46
1096	goal + feedback	79	2.7917233542857143	28
1096	goal + feedback	80	2.8658090392156863	64
1096	goal + feedback	81	2.8875765853658537	85
1096	goal + feedback	82	2.8832045463414633	79
1096	goal + feedback	83	2.7715260744186048	22
1096	goal + feedback	84	2.8925276294416244	88
1096	goal + feedback	85	2.9655086490384615	112
1096	goal + feedback	86	2.8952477957446807	92
1096	goal + feedback	87	2.8143231275510203	39
1096	goal + feedback	88	2.9098544102564103	99
1096	goal + feedback	89	2.939412741935484	105
1096	goal + feedback	90	2.859294256302521	60
1096	goal + feedback	91	2.7902795247933883	27
1096	goal + feedback	92	2.830030402597403	51
1096	goal + feedback	93	2.7679413217821782	19
1096	goal + feedback	95	2.8475280978723405	56
1096	goal + feedback	96	2.7492250402010052	16
1096	goal + feedback	97	2.765477384976526	18
1096	goal + feedback	98	2.885569737556561	80
1096	goal + feedback	99	2.7428004057971016	14
1096	goal + feedback	100	2.8366283305084745	52
1096	goal + feedback	101	2.8685759726027396	67
1096	goal + feedback	102	2.7739508504672896	23
1096	goal + feedback	103	2.8711768396624473	68
1096	goal + feedback	104	2.7983981736842107	31
1096	goal + feedback	105	2.8675838630136985	65
1096	goal + feedback	106	2.8230759301075268	45
1096	goal + feedback	107	2.8920202170212765	87
1096	goal + feedback	108	2.7988205777777777	32
1096	goal + feedback	109	2.7740832081447966	24
1096	goal + feedback	110	2.814401164251208	40
1096	goal + feedback	111	2.868548512195122	66
1096	goal + feedback	112	2.9508026460176993	107
1096	goal + feedback	113	3.012071753363229	121
1096	goal + feedback	114	3.020782515695067	123
1096	goal + feedback	115	2.94745800896861	106
1096	goal + feedback	116	2.886106481865285	82
1096	goal + feedback	117	2.980287725388601	116
1096	goal + feedback	118	3.0456193411214953	126
1096	goal + feedback	119	3.025555034334764	124
1096	goal + feedback	120	2.784124734299517	25
1096	goal + feedback	121	2.814500855140187	42
1096	goal + feedback	122	2.7698716455026453	21
1096	goal + feedback	123	3.0500542739130436	127
1096	goal + feedback	124	2.8775958554913297	76
1096	goal + feedback	125	3.083181424242424	130
1096	goal + feedback	126	2.7231281342592593	9
1096	goal + feedback	128	2.9567835109170306	110
1096	goal + feedback	129	2.734079310810811	12
1096	goal + feedback	130	2.844962767605634	55
1096	goal + feedback	131	2.939138337579618	104
1096	goal + feedback	133	2.909825	98
1096	goal + feedback	135	2.828636907834101	49
1096	goal + feedback	136	2.7208980217391305	6
1096	goal + feedback	137	2.806484090909091	37
1096	goal + feedback	138	3.0647868	128
1096	goal + feedback	139	3.1086052035928144	132
1096	goal + feedback	140	2.676502419689119	2
