Subject	condition	TrialId	bin	pupil_change
1107	goal + feedback	1	-200	0.024838262672811164
1107	goal + feedback	1	-150	0.030600215053763646
1107	goal + feedback	1	-100	-0.0015121182795698
1107	goal + feedback	1	-50	-0.018318118279569678
1107	goal + feedback	1	0	-0.039747951612903044
1107	goal + feedback	1	50	-0.06851928494623631
1107	goal + feedback	1	100	-0.07834561827956972
1107	goal + feedback	1	150	-0.0692601182795698
1107	goal + feedback	1	200	-0.0897846182795697
1107	goal + feedback	1	250	-0.07351911827956974
1107	goal + feedback	1	300	-0.05229111827956986
1107	goal + feedback	1	350	-0.044061451612903056
1107	goal + feedback	1	400	-0.03405595161290309
1107	goal + feedback	1	450	0.011445715053763609
1107	goal + feedback	1	500	0.05532121505376356
1107	goal + feedback	1	550	0.08417771505376363
1107	goal + feedback	1	600	0.11204288172043027
1107	goal + feedback	1	650	0.14609388172043017
1107	goal + feedback	1	700	0.1185442150537636
1107	goal + feedback	1	750	0.12033538172043023
1107	goal + feedback	1	800	0.05226721505376353
1107	goal + feedback	1	850	0.014707048387096947
1107	goal + feedback	1	900	-0.049179951612903006
1107	goal + feedback	1	950	-0.07207211827956976
1107	goal + feedback	1	1e3	-0.0869866182795697
1107	goal + feedback	1	1050	-0.10187145161290312
1107	goal + feedback	1	1100	-0.09488978494623639
1107	goal + feedback	1	1150	-0.09496445161290312
1107	goal + feedback	2	-200	-0.02796575576036878
1107	goal + feedback	2	-150	-0.01967961290322595
1107	goal + feedback	2	-100	0.006055387096773964
1107	goal + feedback	2	-50	0.015242553763440784
1107	goal + feedback	2	0	0.031008387096774042
1107	goal + feedback	2	50	0.0653502204301073
1107	goal + feedback	2	100	0.04733258709677397
1107	goal + feedback	2	150	0.08662210138248831
1107	goal + feedback	2	200	0.07922805376344073
1107	goal + feedback	2	250	0.06793538709677405
1107	goal + feedback	2	300	0.03660455376344066
1107	goal + feedback	2	350	-0.00904977956989265
1107	goal + feedback	2	400	-0.005578279569892579
1107	goal + feedback	2	450	0.007547553763440777
1107	goal + feedback	2	500	0.030224387096773997
1107	goal + feedback	2	550	0.06373105376344072
1107	goal + feedback	2	600	0.11968388709677402
1107	goal + feedback	2	650	0.17237155376344063
1107	goal + feedback	2	700	0.19237222043010735
1107	goal + feedback	2	750	0.1955680537634407
1107	goal + feedback	2	800	0.19076358709677396
1107	goal + feedback	2	850	NA
1107	goal + feedback	2	900	NA
1107	goal + feedback	2	950	NA
1107	goal + feedback	2	1e3	NA
1107	goal + feedback	2	1050	NA
1107	goal + feedback	2	1100	NA
1107	goal + feedback	2	1150	0.017687815668202638
1107	goal + feedback	3	-200	-0.020259399999999966
1107	goal + feedback	3	-150	-0.023449566666666682
1107	goal + feedback	3	-100	-0.011167733333333318
1107	goal + feedback	3	-50	0.006604433333333344
1107	goal + feedback	3	0	0.04827226666666662
1107	goal + feedback	3	50	0.0730367666666667
1107	goal + feedback	3	100	0.12819693333333335
1107	goal + feedback	3	150	0.14047943333333338
1107	goal + feedback	3	200	0.18098526666666662
1107	goal + feedback	3	250	0.18921043333333332
1107	goal + feedback	3	300	0.19557693333333334
1107	goal + feedback	3	350	0.19576376666666673
1107	goal + feedback	3	400	0.19681410000000002
1107	goal + feedback	3	450	0.20806243333333332
1107	goal + feedback	3	500	0.20588459999999995
1107	goal + feedback	3	550	0.2442396
1107	goal + feedback	3	600	0.2951737666666667
1107	goal + feedback	3	650	0.32810826666666676
1107	goal + feedback	3	700	0.3616746
1107	goal + feedback	3	750	0.3519677666666665
1107	goal + feedback	3	800	0.36008926666666663
1107	goal + feedback	3	850	0.3509689333333333
1107	goal + feedback	3	900	0.3343439333333333
1107	goal + feedback	3	950	0.32567809999999997
1107	goal + feedback	3	1e3	0.3241942666666666
1107	goal + feedback	3	1050	0.3077557666666666
1107	goal + feedback	3	1100	0.15023359999999997
1107	goal + feedback	3	1150	NA
1107	goal + feedback	4	-200	-0.19104036842105243
1107	goal + feedback	4	-150	NA
1107	goal + feedback	4	-100	-0.14374353508771912
1107	goal + feedback	4	-50	0.09751079824561419
1107	goal + feedback	4	0	0.0780727982456142
1107	goal + feedback	4	50	0.08168746491228089
1107	goal + feedback	4	100	0.10624679824561419
1107	goal + feedback	4	150	0.09598079824561423
1107	goal + feedback	4	200	0.08750929824561411
1107	goal + feedback	4	250	0.05341229824561422
1107	goal + feedback	4	300	0.03269029824561424
1107	goal + feedback	4	350	0.014497298245614187
1107	goal + feedback	4	400	0.017706798245614202
1107	goal + feedback	4	450	0.03589446491228084
1107	goal + feedback	4	500	0.05503196491228087
1107	goal + feedback	4	550	0.08605546491228082
1107	goal + feedback	4	600	0.11760513157894754
1107	goal + feedback	4	650	0.1831884649122808
1107	goal + feedback	4	700	0.21871346491228083
1107	goal + feedback	4	750	0.23060196491228088
1107	goal + feedback	4	800	0.16892096491228084
1107	goal + feedback	4	850	NA
1107	goal + feedback	4	900	NA
1107	goal + feedback	4	950	NA
1107	goal + feedback	4	1e3	0.0016482982456140771
1107	goal + feedback	4	1050	0.22566229824561415
1107	goal + feedback	4	1100	0.15529596491228084
1107	goal + feedback	4	1150	0.14807946491228097
1107	goal + feedback	5	-200	0.008915811059907621
1107	goal + feedback	5	-150	-0.0027737365591400387
1107	goal + feedback	5	-100	-0.014822236559139945
1107	goal + feedback	5	-50	-8.93069892473323e-4
1107	goal + feedback	5	0	0.008087263440860045
1107	goal + feedback	5	50	0.011311930107526624
1107	goal + feedback	5	100	0.028759263440859995
1107	goal + feedback	5	150	0.04531609677419342
1107	goal + feedback	5	200	0.040550382488479135
1107	goal + feedback	5	250	0.060419430107526706
1107	goal + feedback	5	300	0.07433659677419335
1107	goal + feedback	5	350	0.058486096774193364
1107	goal + feedback	5	400	0.09973976344086004
1107	goal + feedback	5	450	0.1207396682027648
1107	goal + feedback	5	500	0.15673926344086006
1107	goal + feedback	5	550	0.19579709677419332
1107	goal + feedback	5	600	0.25004476344086
1107	goal + feedback	5	650	0.3013480967741933
1107	goal + feedback	5	700	0.33237343010752674
1107	goal + feedback	5	750	0.35831276344086005
1107	goal + feedback	5	800	0.3932155967741935
1107	goal + feedback	5	850	0.41369843010752666
1107	goal + feedback	5	900	0.42304676344086006
1107	goal + feedback	5	950	0.4300019301075268
1107	goal + feedback	5	1e3	0.3966694301075267
1107	goal + feedback	5	1050	0.3738860967741935
1107	goal + feedback	5	1100	0.3554937634408601
1107	goal + feedback	5	1150	0.3192685967741933
1107	goal + feedback	6	-200	-0.014939377880184386
1107	goal + feedback	6	-150	0.010834526881720485
1107	goal + feedback	6	-100	0.019483860215053772
1107	goal + feedback	6	-50	-0.010108139784946216
1107	goal + feedback	6	0	-0.002780973118279517
1107	goal + feedback	6	50	0.022200360215053856
1107	goal + feedback	6	100	0.013585026881720511
1107	goal + feedback	6	150	0.02392952688172049
1107	goal + feedback	6	200	0.028823193548387138
1107	goal + feedback	6	250	0.02332252688172039
1107	goal + feedback	6	300	0.040798860215053745
1107	goal + feedback	6	350	0.05732702688172046
1107	goal + feedback	6	400	0.08519002688172057
1107	goal + feedback	6	450	0.11808352688172048
1107	goal + feedback	6	500	0.14688986021505376
1107	goal + feedback	6	550	0.17465452688172056
1107	goal + feedback	6	600	0.22551436021505378
1107	goal + feedback	6	650	0.27355652688172055
1107	goal + feedback	6	700	0.28120602688172047
1107	goal + feedback	6	750	0.27049819354838717
1107	goal + feedback	6	800	0.21559219354838718
1107	goal + feedback	6	850	0.18874452688172041
1107	goal + feedback	6	900	0.14271769354838715
1107	goal + feedback	6	950	NA
1107	goal + feedback	6	1e3	NA
1107	goal + feedback	6	1050	-0.3280894731182797
1107	goal + feedback	6	1100	-0.09306247311827957
1107	goal + feedback	6	1150	0.05079186021505381
1107	goal + feedback	7	-200	-0.011518525345622001
1107	goal + feedback	7	-150	0.0016113032258064485
1107	goal + feedback	7	-100	0.011322903225806489
1107	goal + feedback	7	-50	-0.01260443010752684
1107	goal + feedback	7	0	0.011489903225806527
1107	goal + feedback	7	50	0.0041389032258064935
1107	goal + feedback	7	100	0.0248219032258065
1107	goal + feedback	7	150	0.04805906989247314
1107	goal + feedback	7	200	0.07601706989247321
1107	goal + feedback	7	250	0.10837240322580644
1107	goal + feedback	7	300	0.13289023655913978
1107	goal + feedback	7	350	0.14563106989247313
1107	goal + feedback	7	400	0.1590439032258065
1107	goal + feedback	7	450	0.1831197365591398
1107	goal + feedback	7	500	0.20039023655913982
1107	goal + feedback	7	550	0.2260517365591399
1107	goal + feedback	7	600	0.24771356989247315
1107	goal + feedback	7	650	0.25210073655913984
1107	goal + feedback	7	700	0.26691430322580645
1107	goal + feedback	7	750	0.24496718894009215
1107	goal + feedback	7	800	0.20519373655913986
1107	goal + feedback	7	850	0.14596090322580646
1107	goal + feedback	7	900	0.11001756989247309
1107	goal + feedback	7	950	0.07069706989247322
1107	goal + feedback	7	1e3	0.04224656989247314
1107	goal + feedback	7	1050	0.024859403225806487
1107	goal + feedback	7	1100	0.019112569892473157
1107	goal + feedback	7	1150	0.014186069892473174
1107	goal + feedback	8	-200	0.002189341013824984
1107	goal + feedback	8	-150	0.024466817204301144
1107	goal + feedback	8	-100	5.544838709677554e-4
1107	goal + feedback	8	-50	7.881720430121437e-5
1107	goal + feedback	8	0	-0.02765434946236563
1107	goal + feedback	8	50	-0.036742682795698776
1107	goal + feedback	8	100	-0.0517080161290322
1107	goal + feedback	8	150	-0.051096016129032217
1107	goal + feedback	8	200	-0.10321351612903218
1107	goal + feedback	8	250	-0.10630234946236561
1107	goal + feedback	8	300	-0.09191634946236545
1107	goal + feedback	8	350	-0.09114518279569883
1107	goal + feedback	8	400	-0.07209851612903218
1107	goal + feedback	8	450	-0.02080884946236557
1107	goal + feedback	8	500	0.023746483870967783
1107	goal + feedback	8	550	0.07088381720430115
1107	goal + feedback	8	600	0.0769681505376345
1107	goal + feedback	8	650	0.08985698387096785
1107	goal + feedback	8	700	NA
1107	goal + feedback	8	750	NA
1107	goal + feedback	8	800	NA
1107	goal + feedback	8	850	-0.3727043161290321
1107	goal + feedback	8	900	-0.11568168279569886
1107	goal + feedback	8	950	-0.051958516129032205
1107	goal + feedback	8	1e3	-0.12064151612903225
1107	goal + feedback	8	1050	-0.1098458494623656
1107	goal + feedback	8	1100	-0.0839461827956988
1107	goal + feedback	8	1150	-0.08773968279569881
1107	goal + feedback	9	-200	0.03383125806451602
1107	goal + feedback	9	-150	0.022363924731182722
1107	goal + feedback	9	-100	0.0016939247311825352
1107	goal + feedback	9	-50	-0.015069575268817395
1107	goal + feedback	9	0	-0.04845807526881737
1107	goal + feedback	9	50	-0.059544241935484056
1107	goal + feedback	9	100	-0.09168507526881735
1107	goal + feedback	9	150	-0.13096874193548405
1107	goal + feedback	9	200	-0.15308124193548403
