Subject	condition	TrialId	bin	pupil_change
957	goal + no feedback	1	-200	0.04368340552995401
957	goal + no feedback	1	-150	0.023583548387096902
957	goal + no feedback	1	-100	0.006534381720430267
957	goal + no feedback	1	-50	-0.034311951612903124
957	goal + no feedback	1	0	-0.04676995161290313
957	goal + no feedback	1	50	-0.06521811827956976
957	goal + no feedback	1	100	-0.0670059516129032
957	goal + no feedback	1	150	-0.07630145161290325
957	goal + no feedback	1	200	-0.06397911827956977
957	goal + no feedback	1	250	-0.05941995161290318
957	goal + no feedback	1	300	-0.056535451612903
957	goal + no feedback	1	350	-0.061751284946236495
957	goal + no feedback	1	400	-0.040527284946236364
957	goal + no feedback	1	450	-0.04938278494623649
957	goal + no feedback	1	500	-0.002934951612903062
957	goal + no feedback	1	550	0.05233588172043017
957	goal + no feedback	1	600	0.09278088172043016
957	goal + no feedback	1	650	0.11645088172043024
957	goal + no feedback	1	700	0.1011772150537636
957	goal + no feedback	1	750	0.08325171505376357
957	goal + no feedback	1	800	0.06526104838709686
957	goal + no feedback	1	850	0.060044548387096906
957	goal + no feedback	1	900	0.06710704838709687
957	goal + no feedback	1	950	0.07156504838709687
957	goal + no feedback	1	1e3	0.09649454838709692
957	goal + no feedback	1	1050	0.1177725483870969
957	goal + no feedback	1	1100	0.11882438172043026
957	goal + no feedback	1	1150	0.13683621505376356
957	goal + no feedback	2	-200	-0.0013998571428574128
957	goal + no feedback	2	-150	-0.009503833333333414
957	goal + no feedback	2	-100	-0.026282666666666826
957	goal + no feedback	2	-50	0.009548666666666502
957	goal + no feedback	2	0	0.027870999999999757
957	goal + no feedback	2	50	0.03581749999999976
957	goal + no feedback	2	100	0.03466999999999983
957	goal + no feedback	2	150	0.058032999999999856
957	goal + no feedback	2	200	0.05324399999999985
957	goal + no feedback	2	250	0.0465593333333331
957	goal + no feedback	2	300	0.032546999999999805
957	goal + no feedback	2	350	0.030741499999999828
957	goal + no feedback	2	400	0.04893299999999989
957	goal + no feedback	2	450	0.023028833333333127
957	goal + no feedback	2	500	0.060736166666666445
957	goal + no feedback	2	550	0.06899866666666658
957	goal + no feedback	2	600	0.08871883333333315
957	goal + no feedback	2	650	0.09847999999999983
957	goal + no feedback	2	700	0.11102899999999982
957	goal + no feedback	2	750	0.12724716666666644
957	goal + no feedback	2	800	0.0267234999999999
957	goal + no feedback	2	850	NA
957	goal + no feedback	2	900	NA
957	goal + no feedback	2	950	-0.0820915000000001
957	goal + no feedback	2	1e3	0.2211789999999998
957	goal + no feedback	2	1050	0.27423783333333324
957	goal + no feedback	2	1100	0.2656493333333332
957	goal + no feedback	2	1150	0.2987293333333331
957	goal + no feedback	3	-200	2.2609999999989583e-4
957	goal + no feedback	3	-150	-0.006130233333333364
957	goal + no feedback	3	-100	0.014661766666666484
957	goal + no feedback	3	-50	-0.00699473333333341
957	goal + no feedback	3	0	-0.0017629000000001227
957	goal + no feedback	3	50	-0.016221566666666742
957	goal + no feedback	3	100	NA
957	goal + no feedback	3	150	-0.42899656666666686
957	goal + no feedback	3	200	-0.07359673333333346
957	goal + no feedback	3	250	-0.06552823333333342
957	goal + no feedback	3	300	-0.0839165666666668
957	goal + no feedback	3	350	-0.08450473333333346
957	goal + no feedback	3	400	-0.09487106666666671
957	goal + no feedback	3	450	-0.060888566666666755
957	goal + no feedback	3	500	-0.0404257333333334
957	goal + no feedback	3	550	-0.03323373333333346
957	goal + no feedback	3	600	-0.04941706666666682
957	goal + no feedback	3	650	-0.028549733333333476
957	goal + no feedback	3	700	-0.030846066666666783
957	goal + no feedback	3	750	-0.04203173333333347
957	goal + no feedback	3	800	-0.0573062333333334
957	goal + no feedback	3	850	-0.11266490000000011
957	goal + no feedback	3	900	-0.1282472333333334
957	goal + no feedback	3	950	-0.14104239999999998
957	goal + no feedback	3	1e3	-0.14497056666666666
957	goal + no feedback	3	1050	-0.14585073333333343
957	goal + no feedback	3	1100	-0.1982999
957	goal + no feedback	3	1150	NA
957	goal + no feedback	4	-200	0.028246799999999794
957	goal + no feedback	4	-150	0.007467633333333297
957	goal + no feedback	4	-100	-9.723666666667796e-4
957	goal + no feedback	4	-50	-0.019442366666666766
957	goal + no feedback	4	0	-0.015299700000000064
957	goal + no feedback	4	50	-0.04018070000000007
957	goal + no feedback	4	100	-0.07640746190476204
957	goal + no feedback	4	150	-0.10676770000000009
957	goal + no feedback	4	200	-0.09763986666666676
957	goal + no feedback	4	250	-0.11604020000000011
957	goal + no feedback	4	300	-0.11329036666666685
957	goal + no feedback	4	350	-0.13697253333333345
957	goal + no feedback	4	400	-0.12706203333333344
957	goal + no feedback	4	450	-0.12384370000000011
957	goal + no feedback	4	500	-0.10961203333333332
957	goal + no feedback	4	550	-0.1070440333333335
957	goal + no feedback	4	600	-0.09511370000000004
957	goal + no feedback	4	650	-0.058805866666666796
957	goal + no feedback	4	700	-0.03227970000000013
957	goal + no feedback	4	750	-0.021258700000000037
957	goal + no feedback	4	800	-7.043666666667706e-4
957	goal + no feedback	4	850	0.04235013333333323
957	goal + no feedback	4	900	0.03986846666666651
957	goal + no feedback	4	950	0.07573096666666657
957	goal + no feedback	4	1e3	0.09420213333333323
957	goal + no feedback	4	1050	0.1269912999999998
957	goal + no feedback	4	1100	0.13310646666666667
957	goal + no feedback	4	1150	0.18236829999999982
957	goal + no feedback	5	-200	-0.06324602764976957
957	goal + no feedback	5	-150	-0.012058075268817156
957	goal + no feedback	5	-100	0.023411258064516122
957	goal + no feedback	5	-50	0.03147242473118291
957	goal + no feedback	5	0	0.030961424731182834
957	goal + no feedback	5	50	0.04583842473118286
957	goal + no feedback	5	100	0.07857192473118284
