Subject	condition	TrialId	bin	pupil_change
1022	goal + feedback	2	-200	-0.04131135023041489
1022	goal + feedback	2	-150	-0.0168892311827958
1022	goal + feedback	2	-100	0.010281602150537491
1022	goal + feedback	2	-50	0.024704935483870722
1022	goal + feedback	2	0	0.03009926881720415
1022	goal + feedback	2	50	0.0446812688172041
1022	goal + feedback	2	100	0.0423236021505374
1022	goal + feedback	2	150	0.0219274354838707
1022	goal + feedback	2	200	-0.00662589784946251
1022	goal + feedback	2	250	-0.03494773118279593
1022	goal + feedback	2	300	-0.06891789784946252
1022	goal + feedback	2	350	-0.08616239784946263
1022	goal + feedback	2	400	-0.09128289784946257
1022	goal + feedback	2	450	-0.08211773118279601
1022	goal + feedback	2	500	-0.059528864516129244
1022	goal + feedback	2	550	-0.03568892165898634
1022	goal + feedback	2	600	-0.01866456451612919
1022	goal + feedback	2	650	NA
1022	goal + feedback	2	700	NA
1022	goal + feedback	2	750	NA
1022	goal + feedback	2	800	NA
1022	goal + feedback	2	850	NA
1022	goal + feedback	2	900	0.009464435483870659
1022	goal + feedback	2	950	-2.033978494625869e-4
1022	goal + feedback	2	1e3	0.0015117688172040882
1022	goal + feedback	2	1050	0.04474626881720408
1022	goal + feedback	2	1100	0.08733910215053742
1022	goal + feedback	2	1150	0.11945576881720406
1022	goal + feedback	3	-200	0.006183300000000003
1022	goal + feedback	3	-150	0.003007299999999935
1022	goal + feedback	3	-100	-0.004945033333333404
1022	goal + feedback	3	-50	-7.885333333332856e-4
1022	goal + feedback	3	0	-0.003457033333333248
1022	goal + feedback	3	50	-0.001710700000000065
1022	goal + feedback	3	100	0.004499466666666674
1022	goal + feedback	3	150	0.027031966666666667
1022	goal + feedback	3	200	0.03163063333333338
1022	goal + feedback	3	250	0.0469194666666668
1022	goal + feedback	3	300	0.06776546666666672
1022	goal + feedback	3	350	0.0791296571428571
1022	goal + feedback	3	400	0.07936996666666667
1022	goal + feedback	3	450	0.10429513333333329
1022	goal + feedback	3	500	0.11114713333333344
1022	goal + feedback	3	550	0.15670596666666667
1022	goal + feedback	3	600	0.1426502
1022	goal + feedback	3	650	-0.0068861999999998424
1022	goal + feedback	3	700	NA
1022	goal + feedback	3	750	NA
1022	goal + feedback	3	800	NA
1022	goal + feedback	3	850	NA
1022	goal + feedback	3	900	-0.060997533333333465
1022	goal + feedback	3	950	0.024959799999999914
1022	goal + feedback	3	1e3	0.031120466666666607
1022	goal + feedback	3	1050	0.051221799999999984
1022	goal + feedback	3	1100	0.0915559666666667
1022	goal + feedback	3	1150	0.1431839666666667
1022	goal + feedback	4	-200	0.018462921658985998
1022	goal + feedback	4	-150	0.012309564516128857
1022	goal + feedback	4	-100	-0.0016664354838711315
1022	goal + feedback	4	-50	-0.010093268817204551
1022	goal + feedback	4	0	-0.02208993548387106
