Subject	condition	TrialId	bin	pupil_change
1055	goal + no feedback	1	-200	-0.005551405529954019
1055	goal + no feedback	1	-150	-4.671505376352414e-5
1055	goal + no feedback	1	-100	-0.0032467150537635416
1055	goal + no feedback	1	-50	-0.006855881720430205
1055	goal + no feedback	1	0	0.016625951612903107
1055	goal + no feedback	1	50	0.029777951612903086
1055	goal + no feedback	1	100	0.08270495161290303
1055	goal + no feedback	1	150	0.10680795161290309
1055	goal + no feedback	1	200	0.12655128494623646
1055	goal + no feedback	1	250	0.12100661827956978
1055	goal + no feedback	1	300	0.1247292849462364
1055	goal + no feedback	1	350	0.19940678494623634
1055	goal + no feedback	1	400	0.09829561827956979
1055	goal + no feedback	1	450	0.11910228494623643
1055	goal + no feedback	1	500	0.11397695161290315
1055	goal + no feedback	1	550	0.13936061827956983
1055	goal + no feedback	1	600	0.08710361827956976
1055	goal + no feedback	1	650	0.14558011827956982
1055	goal + no feedback	1	700	0.08765145161290307
1055	goal + no feedback	1	750	NA
1055	goal + no feedback	1	800	NA
1055	goal + no feedback	1	850	-0.4930035483870969
1055	goal + no feedback	1	900	-0.27776754838709683
1055	goal + no feedback	1	950	-0.2850470483870969
1055	goal + no feedback	1	1e3	-0.23634404838709688
1055	goal + no feedback	1	1050	-0.2782893817204302
1055	goal + no feedback	1	1100	-0.09941271505376352
1055	goal + no feedback	1	1150	-0.02674604838709686
1055	goal + no feedback	2	-200	0.0020629631336404686
1055	goal + no feedback	2	-150	0.017997344086021345
1055	goal + no feedback	2	-100	-0.018122822580645275
1055	goal + no feedback	2	-50	0.019548177419354735
1055	goal + no feedback	2	0	-0.021829489247311946
1055	goal + no feedback	2	50	-0.04996315591397867
1055	goal + no feedback	2	100	-0.04462732258064528
1055	goal + no feedback	2	150	-0.03434948924731188
1055	goal + no feedback	2	200	-0.030170322580645337
1055	goal + no feedback	2	250	-0.02947098924731195
1055	goal + no feedback	2	300	-0.030050822580645287
1055	goal + no feedback	2	350	0.014257177419354727
1055	goal + no feedback	2	400	-0.00080648924731193305
1055	goal + no feedback	2	450	0.039098010752688074
1055	goal + no feedback	2	500	0.08255201075268803
1055	goal + no feedback	2	550	0.07034701075268808
1055	goal + no feedback	2	600	0.06298984408602133
1055	goal + no feedback	2	650	0.08389184408602139
1055	goal + no feedback	2	700	0.06262151075268803
1055	goal + no feedback	2	750	0.01872467741935487
1055	goal + no feedback	2	800	0.04399584408602145
1055	goal + no feedback	2	850	-0.00444915591397869
1055	goal + no feedback	2	900	-0.037840155913978636
1055	goal + no feedback	2	950	-0.03377548924731196
1055	goal + no feedback	2	1e3	-0.06773265591397866
1055	goal + no feedback	2	1050	-0.0428684892473119
1055	goal + no feedback	2	1100	-0.03738148924731188
1055	goal + no feedback	2	1150	0.012019844086021378
1055	goal + no feedback	3	-200	-0.04584501843317966
1055	goal + no feedback	3	-150	-0.015766327956989217
1055	goal + no feedback	3	-100	0.008645338709677505
1055	goal + no feedback	3	-50	0.035651505376344206
1055	goal + no feedback	3	0	0.024955338709677477
1055	goal + no feedback	3	50	0.0520648387096776
1055	goal + no feedback	3	100	0.09200750537634413
1055	goal + no feedback	3	150	0.07077700537634413
1055	goal + no feedback	3	200	0.08788683870967755
1055	goal + no feedback	3	250	0.0527771720430108
1055	goal + no feedback	3	300	0.0746721720430108
1055	goal + no feedback	3	350	0.07993933870967747
1055	goal + no feedback	3	400	0.11766900537634413
1055	goal + no feedback	3	450	0.1405186720430108
1055	goal + no feedback	3	500	0.13931167204301084
1055	goal + no feedback	3	550	0.2045818387096774
1055	goal + no feedback	3	600	0.20079033870967736
1055	goal + no feedback	3	650	0.2330135053763441
1055	goal + no feedback	3	700	0.2782178387096775
1055	goal + no feedback	3	750	0.2548045053763441
1055	goal + no feedback	3	800	0.2753193387096775
1055	goal + no feedback	3	850	0.32765133870967755
1055	goal + no feedback	3	900	0.2742088387096775
1055	goal + no feedback	3	950	0.22115283870967758
1055	goal + no feedback	3	1e3	0.1924510053763441
1055	goal + no feedback	3	1050	0.2100931720430108
1055	goal + no feedback	3	1100	0.26588750537634415
1055	goal + no feedback	3	1150	0.21039733870967736
1055	goal + no feedback	4	-200	-0.01610515591397858
1055	goal + no feedback	4	-150	0.0034378202764976224
1055	goal + no feedback	4	-100	0.005049844086021382
1055	goal + no feedback	4	-50	-0.01613032258064521
1055	goal + no feedback	4	0	0.02317484408602133
1055	goal + no feedback	4	50	0.03705834408602141
1055	goal + no feedback	4	100	0.0364391774193548
1055	goal + no feedback	4	150	0.0017461774193547146
1055	goal + no feedback	4	200	0.020419510752688108
1055	goal + no feedback	4	250	0.005601844086021342
1055	goal + no feedback	4	300	0.031423344086021356
1055	goal + no feedback	4	350	0.006991344086021349
1055	goal + no feedback	4	400	-0.031897322580645295
1055	goal + no feedback	4	450	-0.010082822580645226
1055	goal + no feedback	4	500	-0.04601932258064526
1055	goal + no feedback	4	550	0.011159677419354752
1055	goal + no feedback	4	600	0.04263234408602138
1055	goal + no feedback	4	650	0.08547284408602152
1055	goal + no feedback	4	700	0.00965617741935465
1055	goal + no feedback	4	750	0.024610010752688094
